# Typfallsmodellen reference results
# model: Version 4.8
# workbook: typfallsmodellen.xlsb
# publicavg: ok, all rule years 2019-2026 match the port
# exported: 2026-09-13 15:18:14
# referensar: 2025.
# marginal: 0.
# belopp12: 1.
# compareTo: 0.
# avkastning_val: 2.
# hyra: 6300.
# ansokt_bt: 1.
# cases: 299
# caseset: full
# start.Gift: 0
# adv.Variabelnamn: 0.   (row 2)
# adv.w_time: 67.   (row 4)
# adv.IPS_Monthly: 0.   (row 11)
# adv.IPS_start: 2026.   (row 12)
# adv.rng_Kapitalförsäkring: 0.   (row 13)
# adv.TJP_PAR: 66.   (row 14)
# adv.rng_Arvsvinster_TJP: 1.   (row 15)
# adv.Rgk: 0.01   (row 16)
# adv.rng_Temp_Tjp_Uttag: 0.   (row 17)
# adv.rng_Temp_IPS_Uttag: 0.   (row 18)
# adv.rng_Försäkringstid_vid_65: 40.   (row 21)
# adv.Rng_Ansokt: 1.   (row 29)
# adv.Hyra: 6300.   (row 30)
# adv.rng_Makens_inkomst: 0.   (row 31)
# adv.rng_Formogenhet: 0.   (row 32)
# adv.rng_Make_Bald: 1958.   (row 33)
# adv.rng_Kapital_pens: 0.   (row 34)
# adv.RNG_dela: 2.   (row 36)
# adv.rng_Kommunalskatt: 0.   (row 39)
# adv.rng_Begravningsavgift: 0.   (row 40)
# adv.rngPens_Inflation: 0.   (row 43)
# adv.rng_Syntetisk: 0.   (row 44)
# adv.rng_Since_Year_Nyckeltal: 0.   (row 45)
# adv.rng_FlexPens: 0.   (row 46)
# adv.marginal: 0.   (row 47)
# adv.rng_Senaste_Index_Framskrivning: 1.   (row 48)
# adv.rng_Förenklad_beräkning: 0.   (row 49)
# adv.wStartYear_AdvSettings: 1.   (row 50)
# adv.rng_Fondförsäkring: 1.   (row 51)
# adv.Rng_ddelat: 0.   (row 52)
# adv.rng_nypropp: 0.   (row 53)
# adv.rng_mftid: 0.   (row 54)
# adv.rng_tabell2_startAge: 56.   (row 55)
# adv.Visa_process: 1.   (row 58)
# adv.fack: 0.   (row 60)
# adv.akasseavg: 0.   (row 61)
# adv.satagare: 0.   (row 63)
# adv.w_ref: 2025.   (row 64)
# adv.Rng_belopp12: 1.   (row 66)
# adv.Alt_p_age: 0.   (row 67)
# adv.Rng_compareTo: 0.   (row 68)
# adv.Scenario: 0.   (row 69)
# adv.rng_Född_Barn1: 00:00:00   (row 73)
# adv.rng_Född_Barn2: 00:00:00   (row 74)
# adv.rng_Född_Barn3: 00:00:00   (row 75)
# adv.rng_Född_Barn4: 00:00:00   (row 76)
# adv.rng_def_ar: 0.   (row 81)
# adv.rngLönPartUttag: Arbetar deltid   (row 84)
# adv.rng_PBHYear: 0.   (row 87)
# adv.rng_PBH_IP: 0.   (row 88)
# adv.rng_PBH_PP: 0.   (row 89)
# adv.rng_PBH_tjp: 0.   (row 90)
# adv.rng_PBH_IPS: 0.   (row 91)
# adv.rng_Avkastning_val: 2.   (row 94)
# adv.Risk: 0.   (row 95)
# adv.rng_Avkastning_fondavgifter: 1.   (row 96)
# adv.Mortality: 0.   (row 100)
# adv.Average_Earning: 5.   (row 103)
# adv.rng_wyears: 40.   (row 106)
# adv.rng_Bara_fastapriser: 0.   (row 110)
# adv.rng_Sista_PensRatt: 0.   (row 111)
# adv.rng_alt_last_pratt: 0.   (row 114)
# adv.Tl_spec_y: 0.   (row 116)
# adv.TL_special: 1.   (row 117)
# adv.Rules: 0.   (row 119)
# adv.RulesFromUtg: 0.   (row 120)
# adv.RulesFromSkatt: 0.   (row 121)
# adv.Wealth: 0.   (row 125)
# adv.Resp_tjp: 1.   (row 128)
# adv.Rng_resp_rel: 0.   (row 129)
# adv.Rng_resp_max: 1.   (row 130)
# adv.Verbose: 1.   (row 132)
# adv.rng_discount: 0.05   (row 134)
# adv.Wage_profil: 0.   (row 141)
# adv.rngTurboMode: 0   (row 143)
# adv.rngDelnIPMort: 1958.   (row 144)
# adv.rngDelnPPMort: 1958.   (row 145)
# live.rng_def_ar: 0.
# live.rng_PBHYear: 0.
# live.rng_PBH_IP: 0.
# live.rng_PBH_PP: 0.
# live.rng_PBH_tjp: 0.
# live.rng_PBH_IPS: 0.
# live.rng_Bara_fastapriser: 1.
# live.rng_Sista_PensRatt: 1.
Födelseår,Börjar arbeta vid ålder,Går i pension vid ålder,Årslön,Årlig inflation,Real tillväxt,Real fondavkastning,Egen Lönelista,Privat pensionssparande (med avdragsrätt),Välj tjänstepension,Slutlön,Brutto-pension,Inkomstpension,Tilläggspension,Premiepension,Garanti-pension,P_tillägg,Tjänstepension,Eget sparande,Efter skatt,Bostadstillägg + ÄFS,Disponibel inkomst
1940.,23.,66.,462000.,0.,0.,0.017,0.,0.,7.,29432.2750350757,23165.2274998241,5166.2928013511,14070.9050735346,197.0632608543,0.,0.,3730.9663640842,0.,16734.9356484413,82.3547955809,16817.2904440222
1940.,23.,66.,462000.,0.,0.,0.017,0.,0.,8.,29432.2750350757,35087.5547815073,5166.2928013511,14070.9050735346,197.0632608543,0.,0.,15653.2936457674,0.,24480.6982970938,0.,24480.6982970938
1945.,23.,66.,462000.,0.,0.,0.017,0.,0.,1.,32509.2658262758,19203.2169026748,9268.7598497255,9355.9983945028,578.4586584465,0.,0.,0.,0.,15035.2276595061,1258.9193077096,16294.1469672157
1945.,23.,66.,462000.,0.,0.,0.017,0.,0.,2.,32509.2658262758,31338.7695469287,9268.7598497255,9355.9983945028,578.4586584465,0.,0.,12135.5526442539,0.,23073.9240278714,0.,23073.9240278714
1945.,23.,66.,462000.,0.,0.,0.017,0.,0.,3.,32509.2658262758,23326.2447419966,9268.7598497255,9355.9983945028,578.4586584465,0.,0.,4123.0278393218,0.,17836.5915454516,0.,17836.5915454516
1945.,23.,66.,462000.,0.,0.,0.017,0.,0.,4.,32509.2658262758,21963.9813120123,9268.7598497255,9355.9983945028,578.4586584465,0.,0.,2760.7644093376,0.,16918.3499395263,154.3451176829,17072.6950572092
1945.,23.,66.,462000.,0.,0.,0.017,0.,0.,5.,32509.2658262758,22424.3324021449,9268.7598497255,9355.9983945028,578.4586584465,0.,0.,3221.1154994702,0.,17233.0797664537,0.,17233.0797664537
1945.,23.,66.,462000.,0.,0.,0.017,0.,0.,6.,32509.2658262758,29640.9732524163,9268.7598497255,9355.9983945028,578.4586584465,0.,0.,10437.7563497415,0.,21965.8826649113,0.,21965.8826649113
1945.,23.,66.,462000.,0.,0.,0.017,0.,0.,7.,32509.2658262758,23665.8040008991,9268.7598497255,9355.9983945028,578.4586584465,0.,0.,4462.5870982243,0.,18062.4051632791,0.,18062.4051632791
1945.,23.,66.,462000.,0.,0.,0.017,0.,0.,8.,32509.2658262758,36610.6619143949,9268.7598497255,9355.9983945028,578.4586584465,0.,0.,17407.4450117201,0.,26522.9781866444,0.,26522.9781866444
1950.,23.,66.,462000.,0.,0.,0.017,0.,0.,1.,35494.9820835655,19702.9032645451,13818.1865815504,4517.5602818949,1367.1564010998,0.,0.,0.,0.,15679.2585037238,1577.1833264861,17256.4418302099
1950.,23.,66.,462000.,0.,0.,0.017,0.,0.,2.,35494.9820835655,33263.509654584,13818.1865815504,4517.5602818949,1367.1564010998,0.,0.,13560.6063900389,0.,24440.507479274,0.,24440.507479274
1950.,23.,66.,462000.,0.,0.,0.017,0.,0.,3.,35494.9820835655,24766.0051828208,13818.1865815504,4517.5602818949,1367.1564010998,0.,0.,5063.1019182758,0.,18942.1610835467,0.,18942.1610835467
1950.,23.,66.,462000.,0.,0.,0.017,0.,0.,4.,35494.9820835655,23287.8911607623,13818.1865815504,4517.5602818949,1367.1564010998,0.,0.,3584.9878962172,0.,17987.0229118604,143.9807224347,18131.0036342951
1950.,23.,66.,462000.,0.,0.,0.017,0.,0.,5.,35494.9820835655,23883.6279113864,13818.1865815504,4517.5602818949,1367.1564010998,0.,0.,4180.7246468413,0.,18372.9528911081,0.,18372.9528911081
1950.,23.,66.,462000.,0.,0.,0.017,0.,0.,6.,35494.9820835655,30642.7963214613,13818.1865815504,4517.5602818949,1367.1564010998,0.,0.,10939.8930569162,0.,22741.2487543322,0.,22741.2487543322
1950.,23.,66.,462000.,0.,0.,0.017,0.,0.,7.,35494.9820835655,25311.5468192017,13818.1865815504,4517.5602818949,1367.1564010998,0.,0.,5608.6435546566,0.,19291.9858051807,0.,19291.9858051807
1950.,23.,66.,462000.,0.,0.,0.017,0.,0.,8.,35494.9820835655,39742.6421641437,13818.1865815504,4517.5602818949,1367.1564010998,0.,0.,20039.7388995986,0.,28635.6522137598,0.,28635.6522137598
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,1.,37380.5930012977,19857.3637288338,16970.0430204033,1179.1872793634,1708.1334290672,0.,0.,0.,0.,16160.1593569876,1699.380183091,17859.5395400786
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,2.,37380.5930012977,31122.7913001855,16970.0430204033,1179.1872793634,1708.1334290672,0.,0.,11265.4275713516,0.,23593.0198597898,0.,23593.0198597898
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,3.,37380.5930012977,25070.5469395082,16970.0430204033,1179.1872793634,1708.1334290672,0.,0.,5213.1832106743,0.,19570.4865124953,0.,19570.4865124953
